time,node_id,on_hand,backlog_external,backlog_children,pipeline_in,placed_orders
39,R3,0.0,133.0,0.0,1294.0,196.0
40,Supplier,0.0,0.0,0.0,0.0,0.0
40,W1,226.0,0.0,0.0,1290.0,220.0
40,W2,144.0,0.0,196.0,1705.0,196.0
40,R1,112.0,0.0,0.0,353.0,123.0
40,R2,113.0,0.0,0.0,277.0,91.0
40,R3,191.0,0.0,0.0,744.0,422.0
41,Supplier,0.0,0.0,416.0,0.0,0.0
41,W1,484.0,0.0,214.0,1032.0,434.0
41,W2,133.0,0.0,0.0,1294.0,422.0
41,R1,0.0,39.0,0.0,353.0,274.0
41,R2,31.0,0.0,0.0,277.0,173.0
41,R3,270.0,0.0,0.0,853.0,234.0
42,Supplier,0.0,0.0,0.0,0.0,0.0
42,W1,528.0,0.0,173.0,1148.0,233.0
42,W2,383.0,0.0,234.0,1466.0,234.0
42,R1,134.0,0.0,0.0,274.0,180.0
42,R2,0.0,69.0,0.0,277.0,273.0
42,R3,0.0,75.0,0.0,853.0,579.0
43,Supplier,0.0,0.0,467.0,0.0,0.0
43,W1,559.0,0.0,180.0,844.0,513.0
43,W2,104.0,0.0,0.0,1166.0,579.0
43,R1,0.0,42.0,0.0,274.0,356.0
43,R2,124.0,0.0,0.0,273.0,84.0
43,R3,60.0,0.0,0.0,1001.0,296.0
44,Supplier,0.0,0.0,0.0,0.0,0.0
44,W1,203.0,0.0,84.0,1357.0,260.0
44,W2,121.0,0.0,0.0,1432.0,296.0
44,R1,113.0,0.0,0.0,356.0,119.0
44,R2,30.0,0.0,0.0,273.0,178.0
44,R3,0.0,140.0,0.0,1297.0,200.0
45,Supplier,0.0,0.0,0.0,0.0,0.0
45,W1,613.0,0.0,297.0,1207.0,213.0
45,W2,121.0,0.0,200.0,1728.0,200.0
45,R1,0.0,3.0,0.0,356.0,235.0
45,R2,0.0,47.0,0.0,273.0,255.0
45,R3,25.0,0.0,0.0,875.0,457.0
46,Supplier,0.0,0.0,413.0,0.0,0.0
46,W1,358.0,0.0,235.0,1207.0,406.0
46,W2,95.0,0.0,0.0,1297.0,457.0
46,R1,234.0,0.0,0.0,0.0,354.0
46,R2,159.0,0.0,0.0,255.0,67.0
46,R3,0.0,184.0,0.0,1332.0,209.0
47,Supplier,0.0,0.0,0.0,0.0,0.0
47,W1,438.0,0.0,67.0,1179.0,186.0
47,W2,95.0,0.0,209.0,1754.0,209.0
47,R1,100.0,0.0,0.0,354.0,134.0
47,R2,62.0,0.0,0.0,255.0,164.0
47,R3,166.0,0.0,0.0,753.0,438.0
48,Supplier,0.0,0.0,395.0,0.0,0.0
48,W1,438.0,0.0,298.0,1179.0,417.0
48,W2,79.0,0.0,0.0,1332.0,438.0
48,R1,0.0,21.0,0.0,354.0,255.0
48,R2,0.0,22.0,0.0,255.0,248.0
48,R3,234.0,0.0,0.0,895.0,228.0
49,Supplier,0.0,0.0,0.0,0.0,0.0
49,W1,696.0,0.0,248.0,1083.0,205.0
49,W2,79.0,0.0,228.0,1770.0,228.0
49,R1,167.0,0.0,0.0,255.0,166.0
49,R2,152.0,0.0,0.0,0.0,329.0
49,R3,0.0,59.0,0.0,895.0,521.0
50,Supplier,0.0,0.0,433.0,0.0,0.0
50,W1,627.0,0.0,166.0,823.0,452.0
50,W2,137.0,0.0,0.0,1191.0,521.0
50,R1,0.0,31.0,0.0,255.0,364.0
50,R2,54.0,0.0,0.0,329.0,98.0
50,R3,54.0,0.0,0.0,959.0,344.0
51,Supplier,0.0,0.0,0.0,0.0,0.0
51,W1,263.0,0.0,98.0,1275.0,296.0
51,W2,89.0,0.0,0.0,1416.0,344.0
51,R1,82.0,0.0,0.0,364.0,142.0
51,R2,0.0,15.0,0.0,329.0,167.0
51,R3,0.0,153.0,0.0,1303.0,207.0
52,Supplier,0.0,0.0,0.0,0.0,0.0
52,W1,669.0,0.0,309.0,1165.0,211.0
52,W2,89.0,0.0,207.0,1760.0,207.0
52,R1,0.0,32.0,0.0,364.0,256.0
52,R2,0.0,92.0,0.0,329.0,244.0
52,R3,71.0,0.0,0.0,865.0,421.0
53,Supplier,0.0,0.0,418.0,0.0,0.0
53,W1,413.0,0.0,244.0,1165.0,402.0
53,W2,125.0,0.0,0.0,1303.0,421.0
53,R1,222.0,0.0,0.0,256.0,110.0
53,R2,177.0,0.0,0.0,0.0,304.0
53,R3,0.0,153.0,0.0,1286.0,224.0
54,Supplier,0.0,0.0,0.0,0.0,0.0
54,W1,526.0,0.0,110.0,1150.0,170.0
54,W2,125.0,0.0,224.0,1724.0,224.0
54,R1,110.0,0.0,0.0,256.0,222.0
54,R2,112.0,0.0,0.0,304.0,65.0
54,R3,160.0,0.0,0.0,765.0,432.0
55,Supplier,0.0,0.0,394.0,0.0,0.0
55,W1,526.0,0.0,287.0,1150.0,347.0
55,W2,131.0,0.0,0.0,1286.0,432.0
55,R1,231.0,0.0,0.0,0.0,357.0
55,R2,47.0,0.0,0.0,304.0,130.0
55,R3,283.0,0.0,0.0,853.0,221.0
56,Supplier,0.0,0.0,0.0,0.0,0.0
56,W1,621.0,0.0,130.0,1045.0,200.0
56,W2,131.0,0.0,221.0,1718.0,221.0
56,R1,46.0,0.0,0.0,357.0,185.0
56,R2,0.0,43.0,0.0,304.0,220.0
56,R3,15.0,0.0,0.0,853.0,489.0
57,Supplier,0.0,0.0,421.0,0.0,0.0
57,W1,917.0,0.0,405.0,749.0,475.0
57,W2,163.0,0.0,0.0,1197.0,489.0
57,R1,0.0,149.0,0.0,357.0,380.0
57,R2,178.0,0.0,0.0,0.0,303.0
57,R3,165.0,0.0,0.0,921.0,271.0
58,Supplier,0.0,0.0,0.0,0.0,0.0
58,W1,234.0,0.0,0.0,1224.0,278.0
58,W2,236.0,0.0,0.0,1342.0,271.0
58,R1,104.0,0.0,0.0,380.0,104.0
58,R2,94.0,0.0,0.0,303.0,84.0
58,R3,0.0,18.0,0.0,1192.0,183.0
59,Supplier,0.0,0.0,0.0,0.0,0.0
59,W1,636.0,0.0,188.0,1100.0,188.0
59,W2,236.0,0.0,183.0,1613.0,183.0
