t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase
55,R1,0,20,0,97,43,0,EOD
55,R2,39,0,0,51,20,24,EOD
56,Supplier,0,0,0,0,0,0,EOD
56,Warehouse,81,0,0,116,63,56,EOD
56,R1,0,26,0,108,38,32,EOD
56,R2,33,0,0,50,27,21,EOD
57,Supplier,0,0,0,0,0,0,EOD
57,Warehouse,61,0,0,134,65,45,EOD
57,R1,15,0,0,79,26,67,EOD
57,R2,49,0,0,47,14,30,EOD
58,Supplier,0,0,0,0,0,0,EOD
58,Warehouse,92,0,0,128,40,71,EOD
58,R1,68,0,0,26,26,79,EOD
58,R2,57,0,0,41,12,20,EOD
59,Supplier,0,0,0,0,0,0,EOD
59,Warehouse,117,0,0,105,38,63,EOD
59,R1,72,0,0,26,22,26,EOD
59,R2,66,0,0,26,18,27,EOD
60,Supplier,0,0,0,0,0,0,EOD
60,Warehouse,142,0,0,78,40,65,EOD
60,R1,35,0,0,48,37,0,EOD
60,R2,63,0,0,30,17,14,EOD
61,Supplier,0,0,0,0,0,0,EOD
61,Warehouse,128,0,0,78,54,40,EOD
61,R1,34,0,0,63,23,22,EOD
61,R2,59,0,0,35,16,12,EOD
62,Supplier,0,0,0,0,0,0,EOD
62,Warehouse,127,0,0,94,39,38,EOD
62,R1,72,0,0,23,25,63,EOD
62,R2,46,0,0,33,31,18,EOD
63,Supplier,0,0,0,0,0,0,EOD
63,Warehouse,111,0,0,93,56,40,EOD
63,R1,29,0,0,25,66,23,EOD
63,R2,30,0,0,47,33,17,EOD
64,Supplier,0,0,0,0,0,0,EOD
64,Warehouse,66,0,0,95,99,54,EOD
64,R1,21,0,0,66,33,25,EOD
64,R2,25,0,0,64,21,16,EOD
65,Supplier,0,0,0,0,0,0,EOD
65,Warehouse,51,0,0,155,54,39,EOD
65,R1,58,0,0,33,29,66,EOD
65,R2,41,0,0,54,15,31,EOD
66,Supplier,0,0,0,0,0,0,EOD
