t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received
19,R1,21,0,0,0,0,7
19,R2,23,0,0,0,0,6
19,R3,25,0,0,0,0,5
19,WHA,81,0,0,26,13,0
19,WHB,90,0,0,15,5,0
19,R1,21,0,0,7,7,0
19,R2,23,0,0,6,6,0
19,R3,25,0,0,5,5,0
20,Supplier,0,0,0,0,0,0
20,WHA,94,0,0,13,0,13
20,WHB,95,0,0,10,0,5
20,R1,21,0,0,0,0,7
20,R2,23,0,0,0,0,6
20,R3,25,0,0,0,0,5
20,WHA,81,0,0,26,13,0
20,WHB,90,0,0,15,5,0
20,R1,21,0,0,7,7,0
20,R2,23,0,0,6,6,0
20,R3,25,0,0,5,5,0
21,Supplier,0,0,0,0,0,0
21,WHA,94,0,0,13,0,13
21,WHB,95,0,0,10,0,5
21,R1,21,0,0,0,0,7
21,R2,23,0,0,0,0,6
21,R3,25,0,0,0,0,5
21,WHA,81,0,0,26,13,0
21,WHB,90,0,0,15,5,0
21,R1,21,0,0,7,7,0
21,R2,23,0,0,6,6,0
21,R3,25,0,0,5,5,0
22,Supplier,0,0,0,0,0,0
22,WHA,94,0,0,13,0,13
22,WHB,95,0,0,10,0,5
22,R1,21,0,0,0,0,7
22,R2,23,0,0,0,0,6
22,R3,25,0,0,0,0,5
22,WHA,81,0,0,26,13,0
22,WHB,90,0,0,15,5,0
22,R1,21,0,0,7,7,0
22,R2,23,0,0,6,6,0
22,R3,25,0,0,5,5,0
23,Supplier,0,0,0,0,0,0
23,WHA,94,0,0,13,0,13
23,WHB,95,0,0,10,0,5
23,R1,21,0,0,0,0,7
23,R2,23,0,0,0,0,6
23,R3,25,0,0,0,0,5
23,WHA,81,0,0,26,13,0
23,WHB,90,0,0,15,5,0
23,R1,21,0,0,7,7,0
23,R2,23,0,0,6,6,0
23,R3,25,0,0,5,5,0
