t,node_id,sku,on_hand,backlog_external,backlog_children,pipeline_in
8,R2,SKU_A,0,76,0,453
8,R2,SKU_B,0,32,0,273
8,R2,SKU_C,0,92,0,330
8,R2,SKU_D,23,0,0,187
8,R2,SKU_E,0,6,0,201
8,R3,SKU_A,76,0,0,923
8,R3,SKU_B,41,0,0,287
8,R3,SKU_C,112,0,0,569
8,R3,SKU_D,131,0,0,388
8,R3,SKU_E,54,0,0,365
9,Supplier,SKU_A,0,0,0,0
9,Supplier,SKU_B,0,0,0,0
9,Supplier,SKU_C,0,0,0,0
9,Supplier,SKU_D,0,0,0,0
9,Supplier,SKU_E,0,0,0,0
9,W1,SKU_A,415,0,0,1148
9,W1,SKU_B,202,0,0,633
9,W1,SKU_C,271,0,0,862
9,W1,SKU_D,265,0,0,476
9,W1,SKU_E,93,0,0,487
9,W2,SKU_A,0,0,3,1434
9,W2,SKU_B,62,0,0,408
9,W2,SKU_C,126,0,0,833
9,W2,SKU_D,155,0,0,581
9,W2,SKU_E,62,0,0,538
9,R1,SKU_A,244,0,0,234
9,R1,SKU_B,127,0,0,130
9,R1,SKU_C,228,0,0,183
9,R1,SKU_D,121,0,0,98
9,R1,SKU_E,40,0,0,106
9,R2,SKU_A,28,0,0,244
9,R2,SKU_B,65,0,0,140
9,R2,SKU_C,0,3,0,185
9,R2,SKU_D,68,0,0,89
9,R2,SKU_E,29,0,0,122
9,R3,SKU_A,128,0,0,918
9,R3,SKU_B,43,0,0,286
9,R3,SKU_C,139,0,0,564
9,R3,SKU_D,139,0,0,386
9,R3,SKU_E,50,0,0,373
10,Supplier,SKU_A,0,0,0,0
10,Supplier,SKU_B,0,0,0,0
10,Supplier,SKU_C,0,0,0,0
10,Supplier,SKU_D,0,0,0,0
10,Supplier,SKU_E,0,0,0,0
10,W1,SKU_A,215,0,0,1148
10,W1,SKU_B,136,0,0,633
10,W1,SKU_C,167,0,0,862
10,W1,SKU_D,178,0,0,476
10,W1,SKU_E,14,0,0,487
10,W2,SKU_A,233,0,0,1069
10,W2,SKU_B,75,0,0,331
10,W2,SKU_C,212,0,0,659
10,W2,SKU_D,215,0,0,450
10,W2,SKU_E,118,0,0,414
10,R1,SKU_A,269,0,0,193
10,R1,SKU_B,175,0,0,82
10,R1,SKU_C,269,0,0,109
10,R1,SKU_D,141,0,0,69
10,R1,SKU_E,69,0,0,81
10,R2,SKU_A,0,74,0,454
10,R2,SKU_B,19,0,0,232
10,R2,SKU_C,0,53,0,292
10,R2,SKU_D,38,0,0,171
10,R2,SKU_E,0,12,0,208
10,R3,SKU_A,174,0,0,804
10,R3,SKU_B,52,0,0,284
10,R3,SKU_C,214,0,0,489
10,R3,SKU_D,166,0,0,356
10,R3,SKU_E,57,0,0,364
11,Supplier,SKU_A,0,0,0,0
11,Supplier,SKU_B,0,0,0,0
11,Supplier,SKU_C,0,0,0,0
11,Supplier,SKU_D,0,0,0,0
11,Supplier,SKU_E,0,0,0,0
11,W1,SKU_A,368,0,0,1185
11,W1,SKU_B,248,0,0,619
11,W1,SKU_C,279,0,0,835
11,W1,SKU_D,263,0,0,469
11,W1,SKU_E,66,0,0,530
11,W2,SKU_A,33,0,0,1377
11,W2,SKU_B,18,0,0,460
11,W2,SKU_C,124,0,0,857
11,W2,SKU_D,141,0,0,598
11,W2,SKU_E,48,0,0,554
11,R1,SKU_A,271,0,0,206
