time,node_id,on_hand,backlog_external,backlog_children,pipeline_in
51,W1,729.0,0.0,364.0,1075.0
51,W2,89.0,0.0,0.0,1416.0
51,R1,82.0,0.0,0.0,0.0
51,R2,0.0,92.0,0.0,504.0
51,R3,0.0,153.0,0.0,1303.0
52,Supplier,0.0,0.0,0.0,0.0
52,W1,423.0,0.0,69.0,1171.0
52,W2,289.0,0.0,207.0,1560.0
52,R1,0.0,32.0,0.0,506.0
52,R2,0.0,169.0,0.0,504.0
52,R3,0.0,367.0,0.0,1303.0
53,Supplier,0.0,0.0,18.0,0.0
53,W1,615.0,0.0,260.0,1179.0
53,W2,546.0,0.0,421.0,1503.0
53,R1,0.0,142.0,0.0,506.0
53,R2,0.0,229.0,0.0,504.0
53,R3,75.0,0.0,0.0,637.0
54,Supplier,0.0,0.0,23.0,0.0
54,W1,815.0,0.0,430.0,1179.0
54,W2,101.0,0.0,0.0,1503.0
54,R1,252.0,0.0,0.0,0.0
54,R2,210.0,0.0,0.0,0.0
54,R3,0.0,133.0,0.0,1282.0
55,Supplier,0.0,0.0,45.0,0.0
55,W1,1015.0,0.0,607.0,1151.0
55,W2,301.0,0.0,208.0,1503.0
55,R1,117.0,0.0,0.0,0.0
55,R2,145.0,0.0,0.0,0.0
55,R3,283.0,0.0,0.0,645.0
56,Supplier,0.0,0.0,0.0,0.0
56,W1,1298.0,0.0,807.0,1045.0
56,W2,567.0,0.0,429.0,1490.0
56,R1,0.0,68.0,0.0,0.0
56,R2,55.0,0.0,0.0,0.0
56,R3,15.0,0.0,0.0,645.0
57,Supplier,0.0,0.0,21.0,0.0
57,W1,938.0,0.0,426.0,949.0
57,W2,163.0,0.0,0.0,1397.0
57,R1,0.0,263.0,0.0,656.0
57,R2,0.0,28.0,0.0,0.0
57,R3,0.0,256.0,0.0,1342.0
58,Supplier,0.0,0.0,0.0,0.0
58,W1,629.0,0.0,195.0,1024.0
58,W2,507.0,0.0,271.0,1342.0
58,R1,0.0,367.0,0.0,656.0
58,R2,0.0,112.0,0.0,509.0
58,R3,206.0,0.0,0.0,697.0
59,Supplier,0.0,0.0,0.0,0.0
59,W1,829.0,0.0,383.0,1102.0
59,W2,707.0,0.0,454.0,1413.0
59,R1,171.0,0.0,0.0,0.0
59,R2,0.0,181.0,0.0,509.0
59,R3,36.0,0.0,0.0,697.0
60,Supplier,0.0,0.0,0.0,0.0
60,W1,1001.0,0.0,570.0,1118.0
60,W2,283.0,0.0,0.0,1396.0
60,R1,67.0,0.0,0.0,0.0
60,R2,0.0,269.0,0.0,509.0
60,R3,0.0,139.0,0.0,1321.0
61,Supplier,0.0,0.0,0.0,0.0
61,W1,657.0,0.0,241.0,1128.0
61,W2,483.0,0.0,175.0,1366.0
61,R1,0.0,91.0,0.0,521.0
61,R2,158.0,0.0,0.0,0.0
61,R3,329.0,0.0,0.0,624.0
62,Supplier,0.0,0.0,0.0,0.0
62,W1,857.0,0.0,481.0,1120.0
62,W2,736.0,0.0,404.0,1288.0
62,R1,0.0,275.0,0.0,521.0
62,R2,51.0,0.0,0.0,0.0
62,R3,67.0,0.0,0.0,624.0
63,Supplier,0.0,0.0,69.0,0.0
63,W1,1132.0,0.0,772.0,1045.0
63,W2,270.0,0.0,0.0,1288.0
63,R1,51.0,0.0,0.0,0.0
63,R2,0.0,70.0,0.0,0.0
63,R3,0.0,245.0,0.0,1290.0
64,Supplier,0.0,0.0,0.0,0.0
64,W1,322.0,0.0,0.0,1098.0
64,W2,559.0,0.0,312.0,1290.0
64,R1,0.0,169.0,0.0,537.0
64,R2,0.0,190.0,0.0,551.0
64,R3,96.0,0.0,0.0,666.0
65,Supplier,0.0,0.0,0.0,0.0
65,W1,510.0,0.0,340.0,1226.0
65,W2,235.0,0.0,0.0,1331.0
65,R1,0.0,328.0,0.0,537.0
65,R2,0.0,319.0,0.0,551.0
65,R3,0.0,89.0,0.0,1261.0
66,Supplier,0.0,0.0,0.0,0.0
66,W1,697.0,0.0,628.0,1379.0
66,W2,418.0,0.0,185.0,1431.0
66,R1,85.0,0.0,0.0,0.0
66,R2,0.0,402.0,0.0,551.0
66,R3,0.0,294.0,0.0,1261.0
67,Supplier,0.0,0.0,0.0,0.0
67,W1,386.0,0.0,332.0,1475.0
67,W2,588.0,0.0,390.0,1446.0
67,R1,0.0,31.0,0.0,503.0
67,R2,66.0,0.0,0.0,0.0
67,R3,148.0,0.0,0.0,595.0
68,Supplier,0.0,0.0,12.0,0.0
68,W1,586.0,0.0,531.0,1475.0
68,W2,149.0,0.0,0.0,1471.0
68,R1,0.0,168.0,0.0,503.0
68,R2,3.0,0.0,0.0,0.0
68,R3,0.0,24.0,0.0,1209.0
69,Supplier,0.0,0.0,35.0,0.0
69,W1,917.0,0.0,731.0,1344.0
69,W2,349.0,0.0,172.0,1471.0
69,R1,180.0,0.0,0.0,0.0
69,R2,0.0,64.0,0.0,0.0
69,R3,347.0,0.0,0.0,614.0
70,Supplier,0.0,0.0,7.0,0.0
70,W1,688.0,0.0,408.0,1228.0
70,W2,640.0,0.0,396.0,1380.0
70,R1,0.0,39.0,0.0,0.0
70,R2,0.0,165.0,0.0,545.0
70,R3,44.0,0.0,0.0,614.0
71,Supplier,0.0,0.0,53.0,0.0
71,W1,401.0,0.0,101.0,1088.0
71,W2,253.0,0.0,0.0,1268.0
71,R1,0.0,253.0,0.0,627.0
71,R2,0.0,283.0,0.0,545.0
71,R3,0.0,289.0,0.0,1313.0
72,Supplier,0.0,0.0,0.0,0.0
72,W1,689.0,0.0,433.0,1148.0
72,W2,536.0,0.0,333.0,1313.0
72,R1,0.0,380.0,0.0,627.0
72,R2,0.0,380.0,0.0,545.0
72,R3,79.0,0.0,0.0,699.0
73,Supplier,0.0,0.0,0.0,0.0
73,W1,889.0,0.0,657.0,1280.0
73,W2,142.0,0.0,0.0,1461.0
73,R1,101.0,0.0,0.0,0.0
73,R2,74.0,0.0,0.0,0.0
73,R3,0.0,132.0,0.0,1278.0
74,Supplier,0.0,0.0,70.0,0.0
74,W1,1089.0,0.0,894.0,1280.0
74,W2,342.0,0.0,211.0,1461.0
74,R1,0.0,15.0,0.0,0.0
74,R2,2.0,0.0,0.0,0.0
74,R3,0.0,372.0,0.0,1278.0
75,Supplier,0.0,0.0,0.0,0.0
75,W1,686.0,0.0,479.0,1341.0
75,W2,542.0,0.0,451.0,1518.0
75,R1,0.0,160.0,0.0,603.0
75,R2,0.0,63.0,0.0,0.0
75,R3,125.0,0.0,0.0,579.0
76,Supplier,0.0,0.0,40.0,0.0
76,W1,342.0,0.0,145.0,1329.0
76,W2,89.0,0.0,0.0,1518.0
76,R1,0.0,321.0,0.0,603.0
76,R2,0.0,149.0,0.0,544.0
76,R3,0.0,115.0,0.0,1232.0
77,Supplier,0.0,0.0,52.0,0.0
77,W1,690.0,0.0,392.0,1181.0
77,W2,289.0,0.0,240.0,1518.0
77,R1,71.0,0.0,0.0,0.0
77,R2,0.0,295.0,0.0,544.0
77,R3,175.0,0.0,0.0,653.0
78,Supplier,0.0,0.0,0.0,0.0
78,W1,505.0,0.0,232.0,1106.0
78,W2,88.0,0.0,0.0,1472.0
78,R1,0.0,139.0,0.0,517.0
78,R2,0.0,419.0,0.0,544.0
78,R3,0.0,128.0,0.0,1182.0
79,Supplier,0.0,0.0,0.0,0.0
79,W1,705.0,0.0,566.0,1263.0
79,W2,421.0,0.0,303.0,1428.0
79,R1,0.0,298.0,0.0,517.0
79,R2,43.0,0.0,0.0,0.0
79,R3,0.0,343.0,0.0,1182.0
80,Supplier,0.0,0.0,0.0,0.0
80,W1,966.0,0.0,807.0,1336.0
80,W2,103.0,0.0,0.0,1531.0
80,R1,90.0,0.0,0.0,0.0
80,R2,0.0,35.0,0.0,0.0
80,R3,87.0,0.0,0.0,1047.0
81,Supplier,0.0,0.0,56.0,0.0
81,W1,638.0,0.0,498.0,1348.0
81,W2,360.0,0.0,223.0,1474.0
81,R1,0.0,48.0,0.0,0.0
81,R2,0.0,119.0,0.0,516.0
81,R3,0.0,155.0,0.0,1047.0
82,Supplier,0.0,0.0,86.0,0.0
82,W1,202.0,0.0,84.0,1348.0
82,W2,560.0,0.0,465.0,1474.0
82,R1,0.0,173.0,0.0,636.0
82,R2,0.0,189.0,0.0,516.0
82,R3,161.0,0.0,0.0,518.0
83,Supplier,0.0,0.0,0.0,0.0
83,W1,459.0,0.0,279.0,1361.0
83,W2,82.0,0.0,0.0,1554.0
83,R1,0.0,368.0,0.0,636.0
83,R2,0.0,271.0,0.0,516.0
83,R3,0.0,150.0,0.0,1196.0
84,Supplier,0.0,0.0,13.0,0.0
84,W1,816.0,0.0,556.0,1199.0
84,W2,364.0,0.0,311.0,1472.0
84,R1,53.0,0.0,0.0,0.0
84,R2,124.0,0.0,0.0,0.0
84,R3,29.0,0.0,0.0,678.0
85,Supplier,0.0,0.0,0.0,0.0
85,W1,615.0,0.0,357.0,1142.0
85,W2,3.0,0.0,0.0,1507.0
85,R1,0.0,172.0,0.0,535.0
85,R2,11.0,0.0,0.0,0.0
85,R3,0.0,289.0,0.0,1328.0
86,Supplier,0.0,0.0,0.0,0.0
86,W1,815.0,0.0,695.0,1278.0
86,W2,306.0,0.0,318.0,1543.0
