t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase,demand,fulfilled_external,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
10,W2,140.0,0.0,0.0,1485.0,224.0,0.0,EOD,0,0.0,2.8000000000000003,0.0,17.240000000000002,350.0,370.04
10,R1,232.0,0.0,0.0,254.0,96.0,286.0,EOD,96,96.0,6.96,0.0,0.0,0.0,6.96
10,R2,0.0,74.0,0.0,449.0,106.0,0.0,EOD,106,32.0,0.0,37.0,0.0,0.0,37.0
10,R3,170.0,0.0,0.0,1003.0,184.0,365.0,EOD,184,184.0,5.1,0.0,0.0,0.0,5.1
11,Supplier,0.0,0.0,432.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
11,W1,528.0,0.0,208.0,1006.0,202.0,528.0,EOD,0,0.0,10.56,0.0,17.02,0.0,27.58
11,W2,140.0,0.0,184.0,1485.0,184.0,0.0,EOD,0,0.0,2.8000000000000003,0.0,16.84,0.0,19.64
11,R1,125.0,0.0,0.0,254.0,107.0,0.0,EOD,107,107.0,3.75,0.0,0.0,0.0,3.75
11,R2,68.0,0.0,0.0,209.0,98.0,240.0,EOD,98,98.0,2.04,0.0,0.0,0.0,2.04
11,R3,188.0,0.0,0.0,799.0,186.0,204.0,EOD,186,186.0,5.64,0.0,0.0,0.0,5.64
12,Supplier,0.0,0.0,0.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,1000.0,1000.0
12,W1,115.0,0.0,0.0,1416.0,205.0,0.0,EOD,0,0.0,2.3000000000000003,0.0,17.05,730.0,749.35
12,W2,265.0,0.0,0.0,1398.0,186.0,495.0,EOD,0,0.0,5.3,0.0,16.86,350.0,372.16
12,R1,260.0,0.0,0.0,209.0,119.0,254.0,EOD,119,119.0,7.8,0.0,0.0,0.0,7.8
12,R2,0.0,25.0,0.0,413.0,93.0,0.0,EOD,93,68.0,0.0,12.5,0.0,0.0,12.5
12,R3,330.0,0.0,0.0,870.0,157.0,299.0,EOD,157,157.0,9.9,0.0,0.0,0.0,9.9
13,Supplier,0.0,0.0,391.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
13,W1,535.0,0.0,212.0,996.0,212.0,420.0,EOD,0,0.0,10.700000000000001,0.0,17.12,0.0,27.82
13,W2,265.0,0.0,157.0,1398.0,157.0,0.0,EOD,0,0.0,5.3,0.0,16.57,0.0,21.87
13,R1,100.0,0.0,0.0,209.0,160.0,0.0,EOD,160,160.0,3.0,0.0,0.0,0.0,3.0
13,R2,66.0,0.0,0.0,204.0,118.0,209.0,EOD,118,118.0,1.98,0.0,0.0,0.0,1.98
13,R3,355.0,0.0,0.0,594.0,251.0,276.0,EOD,251,251.0,10.65,0.0,0.0,0.0,10.65
14,Supplier,0.0,0.0,343.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,500.0,500.0
