time,node_id,order_qty,policy_type
40,R2,91.0,BaseStockPolicy
40,R3,226.0,BaseStockPolicy
41,W1,214.0,BaseStockPolicy
41,W2,226.0,BaseStockPolicy
41,R1,151.0,BaseStockPolicy
41,R2,82.0,BaseStockPolicy
41,R3,234.0,BaseStockPolicy
42,W1,233.0,BaseStockPolicy
42,W2,234.0,BaseStockPolicy
42,R1,180.0,BaseStockPolicy
42,R2,100.0,BaseStockPolicy
42,R3,345.0,BaseStockPolicy
43,W1,280.0,BaseStockPolicy
43,W2,345.0,BaseStockPolicy
43,R1,176.0,BaseStockPolicy
43,R2,84.0,BaseStockPolicy
43,R3,296.0,BaseStockPolicy
44,W1,260.0,BaseStockPolicy
44,W2,296.0,BaseStockPolicy
44,R1,119.0,BaseStockPolicy
44,R2,94.0,BaseStockPolicy
44,R3,200.0,BaseStockPolicy
45,W1,213.0,BaseStockPolicy
45,W2,200.0,BaseStockPolicy
45,R1,116.0,BaseStockPolicy
45,R2,77.0,BaseStockPolicy
45,R3,257.0,BaseStockPolicy
46,W1,193.0,BaseStockPolicy
46,W2,257.0,BaseStockPolicy
46,R1,119.0,BaseStockPolicy
46,R2,67.0,BaseStockPolicy
46,R3,209.0,BaseStockPolicy
47,W1,186.0,BaseStockPolicy
47,W2,209.0,BaseStockPolicy
47,R1,134.0,BaseStockPolicy
47,R2,97.0,BaseStockPolicy
47,R3,229.0,BaseStockPolicy
48,W1,231.0,BaseStockPolicy
48,W2,229.0,BaseStockPolicy
48,R1,121.0,BaseStockPolicy
48,R2,84.0,BaseStockPolicy
48,R3,228.0,BaseStockPolicy
49,W1,205.0,BaseStockPolicy
49,W2,228.0,BaseStockPolicy
49,R1,166.0,BaseStockPolicy
49,R2,81.0,BaseStockPolicy
49,R3,293.0,BaseStockPolicy
50,W1,247.0,BaseStockPolicy
50,W2,293.0,BaseStockPolicy
50,R1,198.0,BaseStockPolicy
50,R2,98.0,BaseStockPolicy
50,R3,344.0,BaseStockPolicy
51,W1,296.0,BaseStockPolicy
51,W2,344.0,BaseStockPolicy
51,R1,142.0,BaseStockPolicy
51,R2,69.0,BaseStockPolicy
51,R3,207.0,BaseStockPolicy
52,W1,211.0,BaseStockPolicy
52,W2,207.0,BaseStockPolicy
52,R1,114.0,BaseStockPolicy
52,R2,77.0,BaseStockPolicy
52,R3,214.0,BaseStockPolicy
53,W1,191.0,BaseStockPolicy
53,W2,214.0,BaseStockPolicy
53,R1,110.0,BaseStockPolicy
53,R2,60.0,BaseStockPolicy
53,R3,224.0,BaseStockPolicy
54,W1,170.0,BaseStockPolicy
54,W2,224.0,BaseStockPolicy
54,R1,112.0,BaseStockPolicy
54,R2,65.0,BaseStockPolicy
54,R3,208.0,BaseStockPolicy
55,W1,177.0,BaseStockPolicy
55,W2,208.0,BaseStockPolicy
55,R1,135.0,BaseStockPolicy
55,R2,65.0,BaseStockPolicy
55,R3,221.0,BaseStockPolicy
56,W1,200.0,BaseStockPolicy
56,W2,221.0,BaseStockPolicy
56,R1,185.0,BaseStockPolicy
56,R2,90.0,BaseStockPolicy
56,R3,268.0,BaseStockPolicy
57,W1,275.0,BaseStockPolicy
57,W2,268.0,BaseStockPolicy
57,R1,195.0,BaseStockPolicy
57,R2,83.0,BaseStockPolicy
57,R3,271.0,BaseStockPolicy
58,W1,278.0,BaseStockPolicy
58,W2,271.0,BaseStockPolicy
58,R1,104.0,BaseStockPolicy
58,R2,84.0,BaseStockPolicy
58,R3,183.0,BaseStockPolicy
59,W1,188.0,BaseStockPolicy
59,W2,183.0,BaseStockPolicy
59,R1,118.0,BaseStockPolicy
59,R2,69.0,BaseStockPolicy
59,R3,170.0,BaseStockPolicy
60,W1,187.0,BaseStockPolicy
60,W2,170.0,BaseStockPolicy
60,R1,104.0,BaseStockPolicy
60,R2,88.0,BaseStockPolicy
60,R3,175.0,BaseStockPolicy
61,W1,192.0,BaseStockPolicy
61,W2,175.0,BaseStockPolicy
61,R1,158.0,BaseStockPolicy
61,R2,82.0,BaseStockPolicy
61,R3,229.0,BaseStockPolicy
62,W1,240.0,BaseStockPolicy
62,W2,229.0,BaseStockPolicy
62,R1,184.0,BaseStockPolicy
62,R2,107.0,BaseStockPolicy
62,R3,262.0,BaseStockPolicy
63,W1,291.0,BaseStockPolicy
63,W2,262.0,BaseStockPolicy
63,R1,195.0,BaseStockPolicy
63,R2,121.0,BaseStockPolicy
63,R3,312.0,BaseStockPolicy
64,W1,316.0,BaseStockPolicy
64,W2,312.0,BaseStockPolicy
64,R1,220.0,BaseStockPolicy
64,R2,120.0,BaseStockPolicy
64,R3,283.0,BaseStockPolicy
65,W1,340.0,BaseStockPolicy
65,W2,283.0,BaseStockPolicy
65,R1,159.0,BaseStockPolicy
65,R2,129.0,BaseStockPolicy
65,R3,185.0,BaseStockPolicy
66,W1,288.0,BaseStockPolicy
66,W2,185.0,BaseStockPolicy
66,R1,124.0,BaseStockPolicy
66,R2,83.0,BaseStockPolicy
66,R3,205.0,BaseStockPolicy
67,W1,207.0,BaseStockPolicy
67,W2,205.0,BaseStockPolicy
67,R1,116.0,BaseStockPolicy
67,R2,83.0,BaseStockPolicy
67,R3,224.0,BaseStockPolicy
68,W1,199.0,BaseStockPolicy
68,W2,224.0,BaseStockPolicy
68,R1,137.0,BaseStockPolicy
68,R2,63.0,BaseStockPolicy
68,R3,172.0,BaseStockPolicy
69,W1,200.0,BaseStockPolicy
69,W2,172.0,BaseStockPolicy
69,R1,155.0,BaseStockPolicy
69,R2,67.0,BaseStockPolicy
69,R3,224.0,BaseStockPolicy
70,W1,222.0,BaseStockPolicy
70,W2,224.0,BaseStockPolicy
70,R1,219.0,BaseStockPolicy
70,R2,101.0,BaseStockPolicy
70,R3,303.0,BaseStockPolicy
71,W1,320.0,BaseStockPolicy
71,W2,303.0,BaseStockPolicy
71,R1,214.0,BaseStockPolicy
71,R2,118.0,BaseStockPolicy
71,R3,333.0,BaseStockPolicy
72,W1,332.0,BaseStockPolicy
72,W2,333.0,BaseStockPolicy
72,R1,127.0,BaseStockPolicy
72,R2,97.0,BaseStockPolicy
72,R3,246.0,BaseStockPolicy
73,W1,224.0,BaseStockPolicy
73,W2,246.0,BaseStockPolicy
73,R1,146.0,BaseStockPolicy
73,R2,91.0,BaseStockPolicy
73,R3,211.0,BaseStockPolicy
74,W1,237.0,BaseStockPolicy
74,W2,211.0,BaseStockPolicy
74,R1,116.0,BaseStockPolicy
74,R2,72.0,BaseStockPolicy
74,R3,240.0,BaseStockPolicy
75,W1,188.0,BaseStockPolicy
75,W2,240.0,BaseStockPolicy
75,R1,145.0,BaseStockPolicy
75,R2,65.0,BaseStockPolicy
75,R3,202.0,BaseStockPolicy
76,W1,210.0,BaseStockPolicy
76,W2,202.0,BaseStockPolicy
76,R1,161.0,BaseStockPolicy
76,R2,86.0,BaseStockPolicy
76,R3,240.0,BaseStockPolicy
77,W1,247.0,BaseStockPolicy
77,W2,240.0,BaseStockPolicy
77,R1,211.0,BaseStockPolicy
77,R2,146.0,BaseStockPolicy
77,R3,289.0,BaseStockPolicy
78,W1,357.0,BaseStockPolicy
78,W2,289.0,BaseStockPolicy
78,R1,210.0,BaseStockPolicy
78,R2,124.0,BaseStockPolicy
78,R3,303.0,BaseStockPolicy
79,W1,334.0,BaseStockPolicy
79,W2,303.0,BaseStockPolicy
79,R1,159.0,BaseStockPolicy
79,R2,82.0,BaseStockPolicy
79,R3,215.0,BaseStockPolicy
80,W1,241.0,BaseStockPolicy
80,W2,215.0,BaseStockPolicy
80,R1,129.0,BaseStockPolicy
80,R2,78.0,BaseStockPolicy
80,R3,223.0,BaseStockPolicy
81,W1,207.0,BaseStockPolicy
81,W2,223.0,BaseStockPolicy
81,R1,138.0,BaseStockPolicy
81,R2,84.0,BaseStockPolicy
81,R3,242.0,BaseStockPolicy
82,W1,222.0,BaseStockPolicy
82,W2,242.0,BaseStockPolicy
82,R1,125.0,BaseStockPolicy
82,R2,70.0,BaseStockPolicy
82,R3,213.0,BaseStockPolicy
83,W1,195.0,BaseStockPolicy
83,W2,213.0,BaseStockPolicy
83,R1,195.0,BaseStockPolicy
83,R2,82.0,BaseStockPolicy
83,R3,311.0,BaseStockPolicy
84,W1,277.0,BaseStockPolicy
84,W2,311.0,BaseStockPolicy
84,R1,215.0,BaseStockPolicy
84,R2,121.0,BaseStockPolicy
84,R3,339.0,BaseStockPolicy
85,W1,336.0,BaseStockPolicy
85,W2,339.0,BaseStockPolicy
85,R1,225.0,BaseStockPolicy
85,R2,113.0,BaseStockPolicy
85,R3,318.0,BaseStockPolicy
86,W1,338.0,BaseStockPolicy
86,W2,318.0,BaseStockPolicy
86,R1,125.0,BaseStockPolicy
86,R2,72.0,BaseStockPolicy
86,R3,229.0,BaseStockPolicy
87,W1,197.0,BaseStockPolicy
87,W2,229.0,BaseStockPolicy
87,R1,105.0,BaseStockPolicy
87,R2,67.0,BaseStockPolicy
87,R3,183.0,BaseStockPolicy
88,W1,172.0,BaseStockPolicy
88,W2,183.0,BaseStockPolicy
88,R1,136.0,BaseStockPolicy
88,R2,74.0,BaseStockPolicy
88,R3,173.0,BaseStockPolicy
89,W1,210.0,BaseStockPolicy
89,W2,173.0,BaseStockPolicy
89,R1,111.0,BaseStockPolicy
89,R2,62.0,BaseStockPolicy
89,R3,193.0,BaseStockPolicy
