t,node_id,sku,on_hand,backlog_external,backlog_children,pipeline_in
9,R1,SKU_C,298,0,0,614
9,R1,SKU_D,204,0,0,145
9,R1,SKU_E,0,30,0,186
9,R2,SKU_A,578,0,0,418
9,R2,SKU_B,332,0,0,262
9,R2,SKU_C,23,0,0,619
9,R2,SKU_D,134,0,0,146
9,R2,SKU_E,300,0,0,146
9,R3,SKU_A,273,0,0,1248
9,R3,SKU_B,237,0,0,396
9,R3,SKU_C,554,0,0,769
9,R3,SKU_D,356,0,0,527
9,R3,SKU_E,361,0,0,592
10,Supplier,SKU_A,0,0,0,0
10,Supplier,SKU_B,0,0,0,0
10,Supplier,SKU_C,0,0,0,0
10,Supplier,SKU_D,0,0,0,0
10,Supplier,SKU_E,0,0,0,0
10,W1,SKU_A,216,0,0,709
10,W1,SKU_B,405,0,0,405
10,W1,SKU_C,112,0,0,553
10,W1,SKU_D,0,0,14,298
10,W1,SKU_E,1270,0,0,316
10,W2,SKU_A,2443,0,0,1194
10,W2,SKU_B,222,0,0,312
10,W2,SKU_C,1037,0,0,691
10,W2,SKU_D,104,0,0,476
10,W2,SKU_E,710,0,0,441
10,R1,SKU_A,543,0,0,0
10,R1,SKU_B,411,0,0,0
10,R1,SKU_C,831,0,0,0
10,R1,SKU_D,306,0,0,0
10,R1,SKU_E,125,0,0,0
10,R2,SKU_A,894,0,0,335
10,R2,SKU_B,548,0,0,158
10,R2,SKU_C,592,0,0,188
10,R2,SKU_D,250,0,0,109
10,R2,SKU_E,405,0,0,141
10,R3,SKU_A,646,0,0,675
10,R3,SKU_B,356,0,0,220
10,R3,SKU_C,593,0,0,642
10,R3,SKU_D,524,0,0,285
10,R3,SKU_E,291,0,0,592
11,Supplier,SKU_A,0,0,0,0
11,Supplier,SKU_B,0,0,0,0
11,Supplier,SKU_C,0,0,0,0
11,Supplier,SKU_D,0,0,0,0
11,Supplier,SKU_E,0,0,0,0
11,W1,SKU_A,3,0,0,1373
11,W1,SKU_B,329,0,0,723
11,W1,SKU_C,0,0,19,972
11,W1,SKU_D,0,0,87,553
11,W1,SKU_E,1198,0,0,598
11,W2,SKU_A,2754,0,0,1231
11,W2,SKU_B,286,0,0,416
11,W2,SKU_C,1213,0,0,767
11,W2,SKU_D,223,0,0,536
11,W2,SKU_E,813,0,0,505
11,R1,SKU_A,447,0,0,304
11,R1,SKU_B,366,0,0,112
11,R1,SKU_C,767,0,0,190
11,R1,SKU_D,266,0,0,98
11,R1,SKU_E,75,0,0,112
11,R2,SKU_A,797,0,0,335
11,R2,SKU_B,514,0,0,158
11,R2,SKU_C,553,0,0,188
11,R2,SKU_D,221,0,0,109
11,R2,SKU_E,358,0,0,141
11,R3,SKU_A,462,0,0,675
11,R3,SKU_B,274,0,0,220
11,R3,SKU_C,480,0,0,642
11,R3,SKU_D,438,0,0,285
11,R3,SKU_E,192,0,0,592
12,Supplier,SKU_A,0,0,0,0
12,Supplier,SKU_B,0,0,0,0
12,Supplier,SKU_C,0,0,0,0
12,Supplier,SKU_D,0,0,0,0
12,Supplier,SKU_E,0,0,0,0
12,W1,SKU_A,0,0,190,1373
12,W1,SKU_B,250,0,0,723
12,W1,SKU_C,0,0,122,972
12,W1,SKU_D,0,0,156,553
12,W1,SKU_E,1101,0,0,598
12,W2,SKU_A,2570,0,0,1231
12,W2,SKU_B,204,0,0,416
12,W2,SKU_C,1100,0,0,767
12,W2,SKU_D,137,0,0,536
12,W2,SKU_E,714,0,0,505
12,R1,SKU_A,307,0,0,304
12,R1,SKU_B,296,0,0,112
12,R1,SKU_C,696,0,0,190
12,R1,SKU_D,228,0,0,98
12,R1,SKU_E,23,0,0,112
12,R2,SKU_A,690,0,0,335
12,R2,SKU_B,432,0,0,158
12,R2,SKU_C,501,0,0,188
12,R2,SKU_D,172,0,0,109
12,R2,SKU_E,302,0,0,141
12,R3,SKU_A,244,0,0,1188
12,R3,SKU_B,201,0,0,423
12,R3,SKU_C,321,0,0,931
12,R3,SKU_D,344,0,0,516
12,R3,SKU_E,100,0,0,829
13,Supplier,SKU_A,0,0,0,0
13,Supplier,SKU_B,0,0,0,0
13,Supplier,SKU_C,0,0,0,0
13,Supplier,SKU_D,0,0,0,0
13,Supplier,SKU_E,0,0,0,0
13,W1,SKU_A,272,0,0,664
13,W1,SKU_B,503,0,0,318
13,W1,SKU_C,308,0,0,419
13,W1,SKU_D,55,0,0,255
13,W1,SKU_E,1309,0,0,282
13,W2,SKU_A,2352,0,0,1231
13,W2,SKU_B,131,0,0,416
13,W2,SKU_C,941,0,0,767
13,W2,SKU_D,43,0,0,536
13,W2,SKU_E,622,0,0,505
13,R1,SKU_A,456,0,0,0
13,R1,SKU_B,319,0,0,0
13,R1,SKU_C,784,0,0,0
13,R1,SKU_D,258,0,0,0
13,R1,SKU_E,65,0,0,0
13,R2,SKU_A,892,0,0,306
13,R2,SKU_B,528,0,0,162
13,R2,SKU_C,619,0,0,141
13,R2,SKU_D,227,0,0,122
13,R2,SKU_E,386,0,0,144
13,R3,SKU_A,632,0,0,513
13,R3,SKU_B,305,0,0,203
13,R3,SKU_C,749,0,0,289
13,R3,SKU_D,491,0,0,231
13,R3,SKU_E,565,0,0,237
14,Supplier,SKU_A,0,0,0,0
14,Supplier,SKU_B,0,0,0,0
14,Supplier,SKU_C,0,0,0,0
14,Supplier,SKU_D,0,0,0,0
14,Supplier,SKU_E,0,0,0,0
14,W1,SKU_A,0,0,16,1317
14,W1,SKU_B,352,0,0,625
14,W1,SKU_C,136,0,0,776
14,W1,SKU_D,0,0,67,484
14,W1,SKU_E,1182,0,0,559
14,W2,SKU_A,2748,0,0,1150
14,W2,SKU_B,206,0,0,437
14,W2,SKU_C,1154,0,0,700
14,W2,SKU_D,188,0,0,507
14,W2,SKU_E,763,0,0,498
14,R1,SKU_A,307,0,0,391
14,R1,SKU_B,248,0,0,204
14,R1,SKU_C,690,0,0,237
14,R1,SKU_D,198,0,0,176
14,R1,SKU_E,0,13,0,172
14,R2,SKU_A,763,0,0,306
14,R2,SKU_B,479,0,0,162
14,R2,SKU_C,568,0,0,141
14,R2,SKU_D,182,0,0,122
14,R2,SKU_E,333,0,0,144
14,R3,SKU_A,318,0,0,513
14,R3,SKU_B,246,0,0,203
14,R3,SKU_C,622,0,0,289
14,R3,SKU_D,398,0,0,231
14,R3,SKU_E,489,0,0,237
15,Supplier,SKU_A,0,0,0,0
15,Supplier,SKU_B,0,0,0,0
15,Supplier,SKU_C,0,0,0,0
15,Supplier,SKU_D,0,0,0,0
15,Supplier,SKU_E,0,0,0,0
15,W1,SKU_A,0,0,294,1317
15,W1,SKU_B,232,0,0,625
15,W1,SKU_C,0,0,9,776
15,W1,SKU_D,0,0,172,484
15,W1,SKU_E,1051,0,0,559
15,W2,SKU_A,2434,0,0,1150
15,W2,SKU_B,147,0,0,437
15,W2,SKU_C,1027,0,0,700
15,W2,SKU_D,95,0,0,507
15,W2,SKU_E,687,0,0,498
15,R1,SKU_A,166,0,0,391
15,R1,SKU_B,214,0,0,204
15,R1,SKU_C,614,0,0,237
15,R1,SKU_D,137,0,0,176
15,R1,SKU_E,0,62,0,172
15,R2,SKU_A,668,0,0,306
15,R2,SKU_B,436,0,0,162
15,R2,SKU_C,521,0,0,141
15,R2,SKU_D,140,0,0,122
15,R2,SKU_E,289,0,0,144
15,R3,SKU_A,114,0,0,1332
15,R3,SKU_B,190,0,0,451
15,R3,SKU_C,521,0,0,789
15,R3,SKU_D,310,0,0,556
15,R3,SKU_E,425,0,0,532
16,Supplier,SKU_A,0,0,0,0
16,Supplier,SKU_B,0,0,0,0
16,Supplier,SKU_C,0,0,0,0
16,Supplier,SKU_D,0,0,0,0
16,Supplier,SKU_E,0,0,0,0
16,W1,SKU_A,134,0,0,653
16,W1,SKU_B,473,0,0,307
16,W1,SKU_C,287,0,0,357
16,W1,SKU_D,0,0,20,229
16,W1,SKU_E,1240,0,0,277
16,W2,SKU_A,2230,0,0,1751
