t_ship,from_node,to_node,lead_time,qty,arrival_time
79,Supplier,W2,6,289.0,85
79,Supplier,W1,5,357.0,84
79,W1,R2,3,124.0,82
79,W1,R1,2,210.0,81
79,W2,R3,4,303.0,83
80,Supplier,W2,6,303.0,86
80,Supplier,W1,5,334.0,85
80,W1,R2,3,82.0,83
80,W1,R1,2,159.0,82
80,W2,R3,4,215.0,84
81,Supplier,W2,6,215.0,87
81,Supplier,W1,5,241.0,86
81,W1,R2,3,78.0,84
81,W1,R1,2,129.0,83
81,W2,R3,4,223.0,85
82,Supplier,W2,6,223.0,88
82,Supplier,W1,5,207.0,87
82,W1,R2,3,84.0,85
82,W1,R1,2,138.0,84
82,W2,R3,4,242.0,86
83,Supplier,W2,6,242.0,89
83,Supplier,W1,5,222.0,88
83,W1,R2,3,70.0,86
83,W1,R1,2,125.0,85
83,W2,R3,4,213.0,87
84,Supplier,W2,6,213.0,90
84,Supplier,W1,5,195.0,89
84,W1,R2,3,82.0,87
84,W1,R1,2,195.0,86
84,W2,R3,4,311.0,88
85,Supplier,W2,6,311.0,91
85,Supplier,W1,5,277.0,90
85,W1,R2,3,121.0,88
85,W1,R1,2,215.0,87
85,W2,R3,4,339.0,89
86,Supplier,W2,6,339.0,92
86,Supplier,W1,5,336.0,91
86,W1,R2,3,113.0,89
86,W1,R1,2,225.0,88
86,W2,R3,4,306.0,90
87,Supplier,W2,6,318.0,93
87,Supplier,W1,5,338.0,92
87,W1,R2,3,72.0,90
87,W1,R1,2,125.0,89
87,W2,R3,4,215.0,91
88,Supplier,W2,6,217.0,94
88,Supplier,W1,5,197.0,93
88,W1,R2,3,67.0,91
88,W1,R1,2,105.0,90
88,W2,R3,4,183.0,92
89,Supplier,W2,6,169.0,95
89,Supplier,W1,5,172.0,94
89,W1,R2,3,74.0,92
89,W1,R1,2,136.0,91
89,W2,R3,4,199.0,93
